"Time (s)","Linear Acceleration x (m/s2)","Linear Acceleration y (m/s2)","Linear Acceleration z (m/s2)","Absolute acceleration (m/s2)"
2.296614125E0,5.055172834E-2,8.804792147E-3,1.383392751E-2,5.314488830E-2
2.306576125E0,3.845690894E-2,4.975158256E-3,-2.523307443E-2,4.626439333E-2
2.316539125E0,3.322909843E-2,1.871315489E-2,-1.984428048E-2,4.299012231E-2
2.326501125E0,1.417860489E-2,1.383471323E-2,-5.625021458E-3,2.059303264E-2
2.336464125E0,4.529486219E-3,1.886073313E-2,-2.792981029E-2,3.400467324E-2
2.346426125E0,1.994889539E-3,3.236938186E-2,-2.134584546E-2,3.882526992E-2
2.356389125E0,1.800271818E-2,4.787636222E-2,-2.792922556E-2,5.827765920E-2
2.366351125E0,2.695284790E-2,3.982438082E-2,5.003462434E-3,4.834740897E-2
2.376314125E0,5.759555840E-2,4.113684319E-2,2.566226006E-2,7.528638526E-2
2.386276125E0,9.097856423E-2,2.394397351E-2,3.000381768E-2,9.874533960E-2
2.396239125E0,9.209118887E-2,3.083836153E-2,2.700945854E-2,1.008032860E-1
2.406201125E0,8.835403235E-2,3.882189397E-2,-2.978127265E-1,3.130590911E-1
2.416164125E0,1.308314776E-1,3.595737043E-2,3.683038348E-1,3.925016213E-1
2.426126125E0,5.739155910E-2,1.583595020E-2,7.207394958E-2,9.348380919E-2
2.436088125E0,1.032604397E-1,1.283918822E-2,2.157844770E-1,2.395631517E-1
2.446051125E0,7.425989003E-2,-6.777891386E-3,-2.000466961E-1,2.134927439E-1
2.456013125E0,6.312571792E-2,-3.880696530E-3,2.253692329E-2,6.714036774E-2
2.465976375E0,-2.400221653E0,5.626771968E-2,-1.157853949E-1,2.403671420E0
2.475938375E0,-4.345518526E0,-1.804483641E0,1.599412286E-1,4.708001026E0
2.485901375E0,-4.547221153E0,-2.077792148E0,4.181209427E-1,5.016898001E0
2.495863375E0,-4.997457928E0,-1.798825144E0,-3.807776999E-1,5.324974113E0
2.505826375E0,-3.311438730E0,-2.351078875E0,2.934039259E-1,4.071766718E0
2.515788375E0,-2.003355047E0,-2.671446944E0,-4.137548268E-1,3.364707011E0
2.525751375E0,-4.291706819E-1,-2.492445838E0,1.197229099E-1,2.531957209E0
2.535713375E0,2.786450968E-1,-2.511843099E0,1.207391560E-1,2.530133749E0
2.545676375E0,6.222349620E-1,-2.279119092E0,-3.226376653E-2,2.362752872E0
2.555638375E0,8.459582037E-1,-1.885923368E0,2.476553106E-1,2.081750558E0
2.565600375E0,7.493578888E-1,-1.830486940E0,-7.478004098E-2,1.979346290E0
2.575563375E0,1.201584983E0,-1.612636203E0,-5.321375549E-2,2.011773769E0
2.585525375E0,1.333244399E0,-1.278502912E0,2.748279065E-1,1.867522610E0
2.595488375E0,1.290177170E0,-8.231164943E-1,3.074039143E-1,1.560953254E0
2.605450375E0,1.419139704E0,-8.146449021E-1,-1.115718913E-1,1.640137831E0
2.615413375E0,1.194792491E0,-4.462027806E-1,-2.632299542E-2,1.275664109E0
2.625375375E0,7.095577922E-1,-2.710362795E-1,2.949943686E-1,8.148340952E-1
2.635338375E0,1.644203785E-1,-5.424863226E-1,-3.692890906E-1,6.765352197E-1
2.645300375E0,4.521471697E-1,-7.746517377E-2,2.466659617E-1,5.208473988E-1
2.655263375E0,5.725452137E-1,-8.197145111E-1,2.015418291E-2,1.000073044E0
2.665225375E0,2.559433734E-1,-1.459921402E0,-2.815919656E-1,1.508698626E0
2.675188375E0,1.319644213E-1,-1.482518990E0,3.834674191E-1,1.536985500E0
2.685150375E0,1.083036084E-1,-2.028767484E0,-6.912344456E-2,2.032831825E0
2.695113375E0,4.124547715E-1,-1.442336047E0,-1.929984623E-1,1.512514667E0
2.705075375E0,7.504677634E-1,-1.357492217E0,1.613743812E-1,1.559496289E0
2.715037375E0,6.006075731E-1,-1.844466463E0,4.114685655E-2,1.940226547E0
2.725000375E0,2.964327653E-1,-2.271256780E0,2.915772557E-1,2.309003474E0
2.734962375E0,6.259206356E-2,-2.307649850E0,-1.373581123E-1,2.312581425E0
2.744925375E0,3.219583284E-1,-2.254588415E0,-3.019443691E-2,2.277660596E0
2.754887375E0,5.928309225E-1,-2.085151893E0,2.064470583E-1,2.177596681E0
2.764850375E0,6.311240454E-1,-1.775954053E0,1.228125787E-1,1.888759722E0
2.774812375E0,7.890414065E-1,-1.754632473E0,1.723215383E-1,1.931583850E0
2.784775375E0,6.222185898E-1,-1.996968279E0,-1.510739261E-1,2.097107916E0
2.794737375E0,7.104128744E-1,-1.861587110E0,2.453982854E-1,2.007588937E0
2.804700375E0,1.280901001E0,-1.804678353E0,-6.083033860E-2,2.213881583E0
2.814662375E0,9.727904508E-1,-1.707232312E0,1.357068586E-1,1.969614119E0
2.824625375E0,1.045540119E0,-1.490967924E0,3.081301385E-1,1.846911929E0
