"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.993599125E0,-3.959509078E-3,9.460704029E-2,5.217532158E0,5.218391322E0
2.003562125E0,-7.556907367E-3,9.558468312E-2,5.172747135E0,5.173635710E0
2.013525125E0,-3.225381020E-3,1.216443926E-1,5.169450760E0,5.170882799E0
2.023488125E0,-6.991357077E-3,8.697988838E-2,5.122558117E0,5.123301283E0
2.033451125E0,5.594286602E-3,1.135411561E-1,5.019917488E0,5.021204485E0
2.043413125E0,-2.369896509E-3,1.093757004E-1,4.850766182E0,4.851999713E0
2.053376125E0,-7.354563102E-3,8.720712364E-2,4.631639481E0,4.632466238E0
2.063339125E0,1.199676376E-2,1.168315932E-1,4.434982300E0,4.436537112E0
2.073302125E0,3.160157241E-3,1.127730906E-1,4.290259361E0,4.291742437E0
2.083265125E0,-1.604895666E-2,4.142275080E-2,4.186878204E0,4.187113864E0
2.093228125E0,8.167076856E-3,1.001069397E-1,4.053340435E0,4.054584662E0
2.103190125E0,-1.531713642E-4,8.233167231E-2,3.912236452E0,3.913102680E0
2.113153125E0,4.213879816E-3,8.849316090E-2,3.738404989E0,3.739454594E0
2.123116125E0,9.164163843E-3,1.013050973E-1,3.512175083E0,3.513647751E0
2.133079125E0,-1.472070254E-2,3.780379519E-2,3.120660543E0,3.120924231E0
2.143042125E0,1.387259364E-2,9.693529457E-2,2.691664219E0,2.693444851E0
2.153005125E0,8.941179141E-3,7.425087690E-2,2.278851271E0,2.280078124E0
2.162967125E0,-7.983742282E-3,1.866405085E-2,2.006410122E0,2.006512812E0
2.172930125E0,4.215211608E-3,5.076655746E-2,1.764391184E0,1.765126415E0
2.182893125E0,-1.079063583E-2,2.951896284E-3,1.560718775E0,1.560758868E0
2.192856125E0,1.267545670E-2,6.700896472E-2,1.322480559E0,1.324237780E0
2.202819125E0,-1.228235662E-2,-1.426591631E-2,1.034586430E0,1.034757678E0
2.212782125E0,1.340861805E-2,5.212752521E-2,6.907382011E-1,6.928321098E-1
2.222745125E0,-1.359663345E-2,-2.840753086E-2,4.201037884E-1,4.212826240E-1
2.232707125E0,9.045470506E-3,2.807021327E-2,2.040297389E-1,2.061501680E-1
