"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.171471708E0,1.387794608E-2,2.151190639E-3,-5.723386243E-2,5.893165548E-2
2.181433708E0,1.995428351E-2,-2.512548566E-3,-6.808739103E-2,7.099562767E-2
2.191395708E0,1.784868516E-2,3.496634960E-4,-8.384395614E-3,1.972297940E-2
2.201357708E0,1.050806094E-2,-4.594742060E-3,6.665526174E-2,6.763471680E-2
2.211319708E0,1.146644928E-2,-3.293736577E-3,8.999376521E-2,9.078108798E-2
2.221281708E0,1.195132735E-2,-4.302381277E-3,8.610492826E-2,8.703679325E-2
2.231243708E0,-8.162925469E-3,-4.887687564E-3,4.878083512E-2,4.970002734E-2
2.241205708E0,-1.193434074E-2,-2.361514986E-2,7.027534604E-2,7.509146458E-2
2.251167708E0,-3.878740910E-2,-8.657329023E-2,9.845183574E-2,1.367192804E-1
2.261129708E0,1.571060280E-2,-5.779914200E-2,2.496227525E-2,6.488974528E-2
2.271091708E0,4.579074263E-2,7.040106118E-2,-1.542056948E-3,8.399690152E-2
2.281054708E0,3.307203446E-3,1.323148888E-1,3.847160921E-2,1.378340746E-1
2.291016708E0,-1.567501701E-2,1.052884734E-1,7.021029577E-2,1.275180552E-1
2.300978708E0,-3.224705171E-3,-2.700828910E-2,2.089546368E-2,3.429966189E-2
2.310940708E0,4.201067302E-2,-6.664305568E-2,-4.986037731E-2,9.323224090E-2
2.320902708E0,4.205597067E-2,-3.992712736E-2,-7.728133366E-2,9.661927706E-2
2.330864708E0,1.660634827E-2,-2.602537215E-2,-1.106597257E-1,1.148854459E-1
2.340826708E0,5.026092986E-3,-1.247152627E-2,-1.028015064E-1,1.036771445E-1
2.350788708E0,4.207693842E-2,8.740125597E-2,-9.052308440E-2,1.326796032E-1
2.360750708E0,4.606135908E-2,1.578666365E-1,-3.682517946E-2,1.685218608E-1
2.370712708E0,-2.370474702E-2,3.672519207E-2,9.251698494E-2,1.023232489E-1
2.380675708E0,-1.539972735E-2,-1.371914667E-1,1.086242368E-1,1.756640969E-1
2.390637708E0,8.842910968E-3,-1.708936483E-1,-2.678149022E-2,1.732053241E-1
2.400599708E0,1.242515054E-2,-3.660356998E-2,-9.133533575E-2,9.917837092E-2
2.410561708E0,-2.888690584E-2,6.480878413E-2,-2.244227149E-2,7.441967064E-2
2.420523708E0,-3.652117221E-2,1.026543027E-1,2.814615726E-2,1.125340307E-1
2.430485708E0,-2.738293117E-2,3.438338220E-2,2.952142239E-2,5.294861916E-2
2.440447708E0,1.510530177E-2,-2.403790355E-2,6.622497976E-2,7.205372227E-2
2.450409708E0,3.028037271E-2,-4.329746246E-2,9.058564961E-2,1.048681608E-1
2.460371708E0,1.262003184E-2,2.838180006E-2,6.744054280E-2,7.424970432E-2
2.470333708E0,-1.094052878E-2,6.166707516E-2,5.205483735E-2,8.143850084E-2
2.480296708E0,1.198650658E-2,4.131057858E-2,1.308314502E-2,4.496008148E-2
2.490258708E0,5.786020886E-3,-5.660514057E-2,1.532262862E-2,5.892709838E-2
2.500220708E0,3.879919946E-2,3.976399004E-2,2.860048592E-2,6.248632313E-2
2.510182708E0,2.688963402E-2,-8.795323312E-2,5.816810131E-3,9.215562335E-2
2.520144708E0,4.390957458E-2,2.678919393E-1,-3.572831489E-2,2.738076959E-1
2.530106708E0,-5.850410608E-2,-1.584899497E-1,3.122340068E-3,1.689720201E-1
2.540068708E0,3.535395605E-2,7.248734772E-2,-3.782096028E-2,8.907717342E-2
2.550030708E0,-1.116085917E-2,-9.347826719E-2,-1.366201937E-2,9.512834482E-2
2.559992708E0,-6.854658932E-3,2.902148545E-2,-1.165203899E-3,2.984276574E-2
2.569955458E0,-3.717320756E-2,-3.337707639E-2,1.792873263E-2,5.307839525E-2
2.579918458E0,-1.281759921E-2,2.800991714E-2,2.497228861E-2,3.965427475E-2
2.589880458E0,-3.159479024E-3,9.400100827E-2,3.835298382E-2,1.015732407E-1
2.599842458E0,-2.584048365E-2,1.208666253E-1,7.893733822E-2,1.466546115E-1
2.609804458E0,1.460968858E-2,2.592655420E-3,1.340463956E-1,1.348651216E-1
2.619766458E0,2.282604069E-2,-2.773392856E-2,3.355768226E-2,4.915604709E-2
